fire_name,username,tweet,human_theme,cgpt_theme,cgpt_sentiment,cgpt_category,claude_theme,claude_sentiment,claude_category
chetco-bar,Alice_Lema,Rogue River Fire Update 🔥#chetcoBarFire #fire #alicelema #changeyouraddresschangeyourlife https://t.co/bSesSffyPn,Fire Progression,Sharing updates and resources,Neutral/Informational,Fire status and operations,Tracking Fire Scale and Containment Progress,Informational/Neutral,Media and Information Sharing
chetco-bar,Didaskalos,Smoke from Chetco Bar fire over Brookings-Harbor #nofilter @ Brookings Harbor Oregon https://t.co/n1mERJsc3j,Smoke / Air Quality,Living with smoke and threat,Alarm/Distress,"Smoke, weather, and air quality",Smoke Exposure and Air Quality Monitoring,Informational/Neutral,Smoke and Air Quality
chetco-bar,Didaskalos,Ash from Chetco Bar fires. It's still falling. @ Brookings Harbor Oregon https://t.co/KRk6pWlwrO,Smoke / Air Quality,Living with smoke and threat,Neutral/Informational,"Smoke, weather, and air quality",Smoke Exposure and Air Quality Monitoring,Engaged/Observational,Smoke and Air Quality
chetco-bar,AdreanaInLB,#BrookingsOR view of sun through smoke of #ChetcoBarFire . Looks like #eclipse2017 glass won't be needed if fire is not contained. https://t.co/rjDbgMeD6u,Fire Progression,Living with smoke and threat,Alarm/Distress,Fire status and operations,Tracking Fire Scale and Containment Progress,Grateful/Supportive,Fire Behavior and Status
chetco-bar,RoseMantle,"Oregon Smoke Information: Smoke Forecast for Chetco Bar Fire -- Aug. 18, 2017 #ChetcoBarFire  https://t.co/5I9P8G9d7D",Smoke / Air Quality,Sharing updates and resources,Neutral/Informational,"Smoke, weather, and air quality",Smoke Exposure and Air Quality Monitoring,Informational/Neutral,Smoke and Air Quality
chetco-bar,RoseMantle,"#ChetcoBarFire
Chetco River Evacuation: ""24 hours or sooner""; https://t.co/xGdW13vgFV",Evacuation,Evacuation and immediate disruption,Alarm/Distress,Evacuation and public safety,Evacuation Orders and Displacement Experiences,Informational/Neutral,Evacuation and Area Closures
chetco-bar,RoseMantle,Evacuation orders in place for Chetco Bar fire in Curry County | KCBY https://t.co/LaexB7pOa3,Evacuation,Evacuation and immediate disruption,Alarm/Distress,Evacuation and public safety,Evacuation Orders and Displacement Experiences,Informational/Neutral,Evacuation and Area Closures
chetco-bar,OregonLatte,Tried to explore Brookings today but the wind shifted and the Chetco Bar fire started blowing… https://t.co/MutxRW4dfP,Fire Progression,Seeking visibility and official action,Neutral/Informational,"Smoke, weather, and air quality","Personal Safety, Proximity, and Local Threat",Informational/Neutral,Weather and Environmental Conditions
chetco-bar,RamblinnRosee,#ChetcoBarFire https://t.co/VlFHORLwXf,Fire Progression,Seeking visibility and official action,Neutral/Informational,Fire status and operations,Media Amplification and Information Gaps,Informational/Neutral,Media and Information Sharing
chetco-bar,Tresabug,any links to the chetco bar fire,Fire Progression,Sharing updates and resources,Neutral/Informational,Fire status and operations,Media Amplification and Information Gaps,Informational/Neutral,Media and Information Sharing
chetco-bar,InfoPasser,"#ChetcoBarFire Eeek, there is seemingly no where to go. Be strong...and, wear masks.❤️",Community Solidarity,Seeking visibility and official action,Anger/Blame,Community solidarity and appreciation,"Community Solidarity, Prayer, and Emotional Bonds",Grateful/Supportive,Public Safety and Health Guidance
chetco-bar,Robb_0919,https://t.co/muBnwnxvjF #ChetcoBarFire Oregon update #CurryCounty residents urged sign up emergency alerts for closures see link 22042 acres,Fire Progression,Sharing updates and resources,Neutral/Informational,Evacuation and public safety,Tracking Fire Scale and Containment Progress,Informational/Neutral,Media and Information Sharing
chetco-bar,Robb_0919,#chetcobarfire evacuation order raised to level 3 per landline notification for area up to lobe park. Thank you very much @topsecretgunner,Evacuation,Evacuation and immediate disruption,Alarm/Distress,Evacuation and public safety,Evacuation Orders and Displacement Experiences,Informational/Neutral,Evacuation and Area Closures
